5.10  Power Stations in the United Kingdom,,,,,,
Scottish and Southern: Hydro Schemes - Affric/Beauly,Mullardoch Tunnel,Hydro,2,1955,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Cashlie,Hydro,11,1959,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Dalchonzie,Hydro,4,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Finlarig,Hydro,17,1955,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lednock,Hydro,3,1961,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lochay,Hydro,46,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lochay Compensation Set,Hydro,2,1959,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,Lubreoch,Hydro,4,1958,Scotland,
Scottish and Southern: Hydro Schemes - Breadalbane,St. Fillans,Hydro,17,1957,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Achanalt,Hydro,3,1956,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Cuileg,Hydro,3,2002,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Grudie Bridge,Hydro,19,1950,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Luichart,Hydro,34,1954,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Loch Dubh,Hydro,1,1954,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Mossford,Hydro,19,1957,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Orrin,Hydro,18,1959,Scotland,
Scottish and Southern: Hydro Schemes - Conon,Torr Achilty,Hydro,15,1954,Scotland,
Scottish and Southern: Hydro Schemes - Foyers,Foyers,Hydro / pumped storage,300,1974,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Ceannacroc,Hydro,20,1956,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Foyers Falls,Hydro,5,1968,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Glendoe,Hydro,100,2008,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Glenmoriston,Hydro,40,1957,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Invergarry,Hydro,20,1956,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Kingairloch,Hydro,4,2005,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Livishie,Hydro,17,1962,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Mucomir,Hydro,2,1962,Scotland,
Scottish and Southern: Hydro Schemes - Great Glen,Quoich,Hydro,18,1955,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Cassley,Hydro,10,1959,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Lairg,Hydro,4,1959,Scotland,
Scottish and Southern: Hydro Schemes - Shin,Shin,Hydro,19,1958,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Allt-na-Lairige,Hydro,7,1956,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Clachan,Hydro,40,1955,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Inverawe,Hydro,25,1963,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Kilmelfort,Hydro,2,1956,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Loch Gair,Hydro,6,1961,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Lussa,Hydro,2,1952,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Nant,Hydro,15,1963,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Sloy,Hydro,153,1950,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Sron Mor,Hydro,4,1957,Scotland,
Scottish and Southern: Hydro Schemes - Sloy/Awe,Striven,Hydro,8,1951,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Clunie,Hydro,61,1950,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Cuaich,Hydro,3,1959,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Errochty,Hydro,75,1955,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Gaur,Hydro,8,1953,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Loch Ericht,Hydro,2,1962,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Pitlochry,Hydro,15,1950,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Rannoch,Hydro,45,1930,Scotland,
Scottish and Southern: Hydro Schemes - Tummel,Tummel,Hydro,34,1933,Scotland,
Scottish and Southern: Wind,Achany,Wind,38,2010,Scotland,
Scottish and Southern: Wind,Artfield Fell,Wind,20,2005,Scotland,
Scottish and Southern: Wind,Balmurrie Fell,Wind,9,2012,Scotland,
Scottish and Southern: Wind,Bessy Bell 1,Wind,5,1995,Northern Ireland,
Scottish and Southern: Wind,Bessy Bell 2,Wind,9,2008,Northern Ireland,
Scottish and Southern: Wind - Bin Mountain Windfarm (NI) Limited,Bin Mountain,Wind,9,2007,Northern Ireland,(19)
Scottish and Southern: Wind - Carcant Windfarm (Scotland) Limited,Carcant,Wind,7,2010,Scotland,(19)
Scottish and Southern: Wind,Cathkin Braes,Wind,3,2013,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde Central,Wind,113,2011,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde North,Wind,108,2012,Scotland,
Scottish and Southern: Wind - Clyde Windfarm (Scotland) Limited,Clyde South,Wind,129,2011,Scotland,
Scottish and Southern: Wind,Drumderg,Wind,37,2008,Scotland,
Scottish and Southern: Wind,Fairburn,Wind,40,2009,Scotland,
Scottish and Southern: Wind,Gordonbush,Wind,70,2011,Scotland,
Scottish and Southern: Wind - Griffin Windfarm Limited,Griffin,Wind,189,2011,Scotland,
Scottish and Southern: Wind,Hadyard Hill,Wind,120,2005,Scotland,
Scottish and Southern: Wind - Keadby Wind Farm Limited,Keadby,Wind,68,2013,Yorkshire and the Humber,
Scottish and Southern: Wind,National Offshore Wind Turbine Test Facility (NOWTTF),Wind,13,2014,Scotland,
Scottish and Southern: Wind,Port of Tilbury,Wind,9,2013,East,
Scottish and Southern: Wind,Slieve Kirk,Wind,74,2011,Northern Ireland,
Scottish and Southern: Wind,Spurness Extension,Wind,10,2012,Scotland,(20)
Scottish and Southern: Wind,Tangy,Wind,19,2002,Scotland,
Scottish and Southern: Wind - Tappaghan Windfarm (NI) Limited,Tappaghan,Wind,29,2005,Northern Ireland,(19)
Scottish and Southern: Wind - SSE Toddleburn Limited,Toddleburn,Wind,28,2010,Scotland,
Scottish and Southern: Small Hydros,Chliostair,Hydro,1,1960,Scotland,
Scottish and Southern: Small Hydros,Kerry Falls,Hydro,1,1951,Scotland,
Scottish and Southern: Small Hydros,Nostie Bridge,Hydro,1,1950,Scotland,
Scottish and Southern: Small Hydros,Storr Lochs,Hydro,2,1952,Scotland,
Scottish and Southern: Thermal,Medway,CCGT,700,1995,South East,
Scottish and Southern: Thermal,Peterhead,CCGT,1180,1980,Scotland,(22)
Scottish and Southern: Thermal,Ferrybridge C,Coal / biomass,980,1966,Yorkshire and the Humber,
Scottish and Southern: Thermal,Fiddler’s Ferry,Coal / biomass,1961,1971,North West,
Scottish and Southern: Thermal,Slough *,Coal / biomass / gas / waste derived fuel,35,1918,South East,
Scottish and Southern: Thermal,Chippenham,Gas,10,2002,South West,
Scottish and Southern: Thermal,Ferrybridge GT,Gas oil,34,1966,Yorkshire and the Humber,
Scottish and Southern: Thermal,Fiddler’s Ferry GT,Gas oil,34,1969,North West,
Scottish and Southern: Thermal,Keadby GT,Gas oil,25,1994,Yorkshire and the Humber,
Scottish and Southern: Thermal,Burghfield,Gas / oil,45,1998,South East,
Scottish and Southern: Thermal,Chickerell,Gas / oil,45,1998,South West,
Scottish and Southern: Thermal,Five Oaks,Light oil,9,1995,South East,
Scottish and Southern: Thermal,Thatcham,Light oil,9,1994,South East,
Scottish and Southern: Island Generation,Arnish,Diesel,10,2001,Scotland,
Scottish and Southern: Island Generation,Barra,Diesel,3,1990,Scotland,
Scottish and Southern: Island Generation,Bowmore,Diesel,6,1946,Scotland,
Scottish and Southern: Island Generation,Kirkwall,Diesel,16,1953,Scotland,
Scottish and Southern: Island Generation,Lerwick,Diesel,67,1953,Scotland,
Scottish and Southern: Island Generation,"Loch Carnan, South Uist",Diesel,9,1971,Scotland,
Scottish and Southern: Island Generation,Stornoway,Diesel,24,1950,Scotland,
Scottish and Southern: Island Generation,Tiree,Diesel,3,1945,Scotland,
Scottish and Southern: Greater Gabbard Offshore Winds Limited,Greater Gabbard,Wind (offshore),504,2011,East,(21)
Scottish Power: Hydro schemes - Galloway,Carsfad,Hydro,12,1936,Scotland,
Scottish Power: Hydro schemes - Galloway,Drumjohn,Hydro,2,1985,Scotland,
Scottish Power: Hydro schemes - Galloway,Earlstoun,Hydro,14,1936,Scotland,
Scottish Power: Hydro schemes - Galloway,Glenlee,Hydro,24,1935,Scotland,
Scottish Power: Hydro schemes - Galloway,Kendoon,Hydro,24,1936,Scotland,
Scottish Power: Hydro schemes - Galloway,Tongland,Hydro,33,1935,Scotland,
Scottish Power: Hydro schemes - Lanark,Bonnington,Hydro,11,1927,Scotland,
Scottish Power: Hydro schemes - Lanark,Stonebyres,Hydro,6,1927,Scotland,
Scottish Power: Hydro schemes - Cruachan,Cruachan,Pumped storage,440,1966,Scotland,
Scottish Power: Thermal,Damhead Creek,CCGT,805,2000,South East,
Scottish Power: Thermal,Rye House,CCGT,715,1993,East,
Scottish Power: Thermal,Shoreham,CCGT,420,2000,South East,
Scottish Power: Thermal,Longannet,Coal,2260,1970,Scotland,
Scottish Power: Thermal,Blackburn,CCGT,59,2011,North West,
Scottish Power: Thermal,Pilkington - Greengate *,Gas,10,1998,North West,
Scottish Power: Wind,Arecleoch,Wind,120,2010,Scotland,
Scottish Power: Wind,Beinn an Tuirc 1,Wind,30,2001,Scotland,
Scottish Power: Wind,Beinn an Tuirc 2,Wind,44,2012,Scotland,
Scottish Power: Wind,Beinn Tharsuinn,Wind,30,2007,Scotland,
Scottish Power: Wind,Black Law,Wind,124,2005,Scotland,
Scottish Power: Wind,Callagheen,Wind,17,2006,Northern Ireland,
Scottish Power: Wind,Carland Cross RP,Wind,20,2013,South West,(23)
Scottish Power: Wind,Clachan Flats,Wind,15,2009,Scotland,
Scottish Power: Wind,Coal Clough RP,Wind,16,2014,North West,(32)
Scottish Power: Wind,Coldham,Wind,16,2006,East,
Scottish Power: Wind,Corkey,Wind,5,1994,Northern Ireland,
Scottish Power: Wind,Cruach Mhor,Wind,30,2004,Scotland,
Scottish Power: Wind,Dun Law 1,Wind,17,2000,Scotland,
Scottish Power: Wind,Dun Law 2,Wind,30,2009,Scotland,
Scottish Power: Wind,Elliot's Hill,Wind,5,1995,Northern Ireland,
Scottish Power: Wind,Green Knowes,Wind,27,2008,Scotland,
Scottish Power: Wind,Hagshaw Hill 1,Wind,16,1995,Scotland,
Scottish Power: Wind,Hagshaw Hill 2,Wind,26,2009,Scotland,
Scottish Power: Wind,Hare Hill,Wind,13,2000,Scotland,
Scottish Power: Wind,Harestanes,Wind,136,2013,Scotland,
Scottish Power: Wind,Lynemouth,Wind,26,2012,North East,
Scottish Power: Wind,Mark Hill,Wind,56,2011,Scotland,
Scottish Power: Wind,Middleton,Wind,12,2013,Scotland,
Scottish Power: Wind,Penryddian & Llidiartywaun,Wind,31,1992,Wales,
Scottish Power: Wind,Rigged Hill,Wind,5,1994,Northern Ireland,
Scottish Power: Wind,Wether Hill,Wind,18,2007,Scotland,
Scottish Power: Wind,Whitelee,Wind,322,2007,Scotland,
Scottish Power: Wind,Whitelee 2,Wind,217,2012,Scotland,
Scottish Power: Wind,Wolf Bog,Wind,10,2008,Northern Ireland,
Seabank Power Limited,Seabank 1,CCGT,812,1998,South West,(24)
Seabank Power Limited,Seabank 2,CCGT,410,2000,South West,
Sembcorp Utilities (UK) Ltd,Wilton 10,Biomass,38,2007,North East,
Sembcorp Utilities (UK) Ltd,Wilton GT2,Gas,42,2005,North East,
Sembcorp Utilities (UK) Ltd,Wilton GT1 *,Gas,42,1952,North East,
South East London Combined Heat & Power Ltd,SELCHP ERF,Waste,32,1994,London,
Statkraft Energy Ltd,Rheidol,Hydro,49,1961,Wales,
Statkraft Wind UK Ltd,Alltwalis,Wind,23,2009,Wales,
Statkraft Wind UK Ltd,Baillie,Wind,53,2013,Scotland,
Statkraft Wind UK Ltd,Berry Burn,Wind,67,2013,Scotland,
Statkraft Wind UK Ltd,Scira (Sheringham Shoal BMU 1),Wind (offshore),158,2012,East,
Statkraft Wind UK Ltd,Scira (Sheringham Shoal BMU 2),Wind (offshore),158,2012,East,
SYND Holdco,Sixpenny Wood,Wind,21,2013,Yorkshire and the Humber,
SYND Holdco,Yelvertoft,Wind,16,2013,East Midlands,
SYND Holdco,North Rhins,Wind,22,2010,Scotland,
SYND Holdco,Drone Hill,Wind,29,2012,Scotland,
Talisman Energy,Beatrice,Wind (offshore),10,2007,Scotland,(3)
The Renewables Infrastructure Group (UK) Ltd,Altahullion,Wind,26,2003,Northern Ireland,
The Renewables Infrastructure Group (UK) Ltd,Altahullion Extension,Wind,12,2007,Northern Ireland,
The Renewables Infrastructure Group (UK) Ltd,Earlseat,Wind,16,2014,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Forss,Wind,2,2003,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Forss Extension,Wind,5,2007,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Grange,Wind,14,2013,North West,
The Renewables Infrastructure Group (UK) Ltd,Hill of Towie,Wind,48,2012,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Kelburn,Wind,28,2011,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Meikle Carewe,Wind,10,2013,Scotland,
The Renewables Infrastructure Group (UK) Ltd,Tallentire,Wind,12,2013,North West,
The Renewables Infrastructure Group (UK) Ltd,Lendrum's Bridge,Wind,13,2000,Northern Ireland,
The Renewables Infrastructure Group (UK) Ltd,Lough Hill,Wind,8,2007,Northern Ireland,
The Renewables Infrastructure Group (UK) Ltd,Roos,Wind,17,2012,Yorkshire and the Humber,
Third Energy Trading Ltd (Formerly RGS),Knapton,Gas,40,1994,Yorkshire and the Humber,
Triodos,Dunfermline (FMC),Wind,2,2012,Scotland,(17)
Triodos,Eye Airfield,Wind,5,2013,England,
Vattenfall Wind Power,Clashindarroch,Wind,37,2015,Scotland,
Vattenfall Wind Power,Edinbane,Wind,41,2010,Scotland,
Vattenfall Wind Power,Swinford,Wind,22,2012,East Midlands,
Vattenfall Wind Power,Kentish Flats,Wind (offshore),90,2005,South East,
Vattenfall Wind Power,Ormonde,Wind (offshore),150,2011,North West,
Vattenfall Wind Power,Thanet,Wind (offshore),300,2010,South East,
Velocita (17),Maerdy,Wind,24,2013,Wales,(17)
VPI Immingham LLP,VPI Immingham *,Gas,1240,2004,Yorkshire and the Humber,
Windcluster,Haverigg 3,Wind,3,2005,North West,(2)
Yorkshire Windpower Ltd,Ovenden Moor,Wind,9,1993,Yorkshire and the Humber,(25)
Yorkshire Windpower Ltd,Royd Moor,Wind,7,1993,Yorkshire and the Humber,
Total,,," 80,946 ",,,
Footnotes,,,,,,
(1)  This list covers stations owned or operated by Major Power Producers; other power stations (including many renewable sites and auto-generators) are included in the sub table on page 152.,,,,,,
(2)  Operated by HG Capital.,,,,,,
"(3)  Joint venture with Scottish and Southern Energy (25.1%), OPW (24.8%) and DONG Energy (50.1%).",,,,,,
(4)  Managed by RWE.,,,,,,
"(5)  Joint venture between Green Coat Capital and Hermes, but operated by SSE.",,,,,,
(6)  Now owned by EDF.,,,,,,
(7)  Managed by EDF Energy Renewables Ltd.,,,,,,
(8)  Recommissioning dates.,,,,,,
"(9)  Capacity reduced in 2013, with these stations typically now operating as Open Cycle Gas Turbines.",,,,,,
(10)  Operated by RES-UK & Ireland Ltd.,,,,,,
11) Barrow owned 100% by Dong Energy.,,,,,,
"(11b) Lincs Co-owned by Centrica (50%), DONG Energy (25%) and Siemens (25%).",,,,,,
"(12)  Animal Waste Derived Fuel, i.e. meat and bone meal, poultry litter, feathers and small quantities of other material such as wood chips.",,,,,,
"(13)  Co-owned by EON (30%), Dong (25%), La caisse de dépôt et placement du Québec (25%) and Masdar 20%.",,,,,,
(14)  Owned by RWE.,,,,,,
(15)  Owned by NDA but operated by Magnox Ltd.,,,,,,
(16)  Joint venture between SSE and ESB.,,,,,,
(17) Operated by Wind Prospect Operations.,,,,,,
(18)  Owned by NDA but operated by Px Limited.,,,,,,
"(19)  Owned by Green Coat Capital, but continues to be operated by SSE.",,,,,,
(20)  Spurness re-powered in December 2012 with a capacity of 10MW.,,,,,,
"(21) Joint venture with Green Coat Capital, but operated by SSE.",,,,,,
"(22)  Total capacity is 1,840 MW but because of transmission constraints only 1,180 MW can be used at any one time.",,,,,,
(23)  Carland Cross re-powered in 2013 (originally commissioned in 1992).,,,,,,
(24)  Joint venture with Scottish and Southern Energy and Electricity First Limited.,,,,,,
(25)  Owned by E.On and EPR.,,,,,,
(26)  As at end December 2012.,,,,,,
(27) SYND Holdco is a joint venture between Greencoat and Swiss Life where Greencoat owns 51.6% and Swiss Life owns 48.4%.,,,,,,
(28)  Site no longer owned by E.ON.  Site sold to Cannock Renewables in December 2014.,,,,,,
(29)  Site no longer owned by E.ON.  Site sold to Cumbria Wind Ltd  in December 2014.,,,,,,
(30)  Site no longer owned by E.ON.  Site sold to Curlew Power Ltd  in December 2014.,,,,,,
"(31)  Site owned by TPG Wind Ltd, a joint venture between E.ON and Eurus Energy UK Ltd.",,,,,,
(32)  Re-powering of the original Coal Clough that was decommissioned.,,,,,,
